swedish,english,note
och,and
att,to/that
det,it
en,a/an
i,in
är,is/are
för,for
som,as/which
på,on
de,they
med,with
av,of/by
den,the
ha,have,past = hade
inte,not
till,to
var,was/were
ett,a/an
men,but
han,he
så,so
sig,oneself
vi,we
kan,can
från,from
hon,she
eller,or
vad,what
nu,now
ska,shall/will
man,one/you
år,year
här,here
bara,only/just
alla,all/everyone
när,when
ut,out
också,also
sedan,then/since
första,first
mycket,much/very
skulle,would/shouldl
där,there
säga,say
bli,become
kommer,come/will come
efter,after
få,get/few
våra,our
vara,be
tid,time
in,in
under,under/during
ta,take
två,two
mitt,my/mine
över,over
själv,self
din,your
hur,how
gå,go
lite,little
mig,me
kanske,maybe
dig,you
mer,more
samma,same
tre,three
bra,good,superlative = bästa
då,then
hem,home
dem,them
oss,us
varje,each
hela,whole
många,many
faktiskt,actually
några,some
börja,begin
rätt,right
varför,why
måste,must
hund,dog
öppna,open
ord,word
alltid,always
morgon,morning
frukost,breakfast
kvinna,woman
barn,child
tjugo,twenty
vacker,beautiful
hus,house
bibliotek,library
ett bok,book
dator,computer
rum,room
studera,to study
dusch,shower
väl,well
ett paraply,umbrella
mat,food
affär,store
titta,watch
intressant,interesting
trött,tired
timme,hour
fantastisk,fantastic
rolig,funny
natur,nature
bil,car
sjö,lake
kall,cold
temperatur,temperature
kväll,evening
prata,talk
restaurang,restaurant
grönsaker,vegetables
fisk,fish
kött,meat
dag,day
stad,town
plats,place
perfekt,perfect
bord,table
smörgås,sandwich
kafé,café
park,park
berg,mountain
skola,school
träffa,meet
ofta,often
centrum,center
kollega,colleague
vän,friend
historia,story/history
kurs,course
se,see/look
gata,street
lyssna,listen
underbar,wonderful
balkong,balcony
tillsamans,together
katt,cat
måndag,monday
tisdag,tuesday
onsdag,wednesday
torsdag,thursday
fredag,friday
lördag,saturday
söndag,sunday
kök,kitchen
rekommendera,recommend
flera,several
ryggsäck,backpack
röd,red
blå,blue
månad,month
varje,each/every
ingen,no (expressing quantity)
istället,instead
tänka,think
första,understand
fråga,ask
arbeta,work
betyda,mean
hjälpa,help
behöva,need
svara,answer
tala,speak
person,person
familj,family
land,country
pengar,money
vatten,water
väg,road
problem,problem
ögon,eyes
stor,big
liten,small
ny,new
gammal,old
ung,young
god,good
rätt,right/correct
lätt,easy
lång,long,comparative = längre
grön,green
tre,three
fyra,four
fem,five
sex,six
sju,seven
åtta,eight
nio,nine
tio,ten
vecka,week
minut,minute
väder,weather
igen,again
redan,already
ihop,together
sol,sun
luft,air
ju,indeed
andra,second/others
klassisk,classic
potatis,potato
bröd,bread
gå förbi,go by
låna,borrow
vakna,wake up
kaffe,coffee
butik,shop
mjölk,milk
äpple,apple
ägg,egg
syster,sister
båt,boat
heta,be called
granne,neighbor
utan,without
genom,through
lägenhet,apartment
färg,color
hylla,shelf
skrivbord,desk
vardagsrum,living room
tycka,think
första,understand
stänga,to close
