swedish,english,note
åt,toward
sin,his/her/its own
vid,by/at
vis,way/manner
sådan,such
skratta,to laugh
frisk,healthy
stig,path/trail
kopplar av,relax/unwind
lugna,calm/peaceful
trasig,broken
med att,by doing (something)
säker,sure/certain
oftare,more often
fortfarande,still
tillräcklig,enough/sufficient
tecken,sign/mark
plötsligt,suddently
ekorre,squirrel
än,yet
förbereda,prepare
skapa,create
koka,to cook,basic cooking verb (especially for boiling)
känna,to know,a person/place
hämta,pick up/fetch
skynda sig,hurry up
att städa,to clean
att somna,to fall asleep
sen,then/late
ge,give
fan,damn
nog,enough
låta,let
hit,here (direction)
hel,whole,definite = hela
böra,should,present = borde
mena,mean
fel,wrong/mistake
sätt,way
hålla,hold/keep
dom,them (informal)
bort,away
stå,stand,present = står
köra,to drive
ens,even
enda,only
hitta,find
kvar,remaining
ingenting,nothing
snart,soon
väldigt,very
herregud,oh my god
kolla,check
skit,shit
härifrån,from here
era,your (plural)
rädd,afraid
fler,more
förändra,to change
utveckla,to develop
område,area/district
en uppgift,task/assignment
att kräva,to require
ansöka,to apply
kundtjänst,customer service
turtabell,timetable
lösenord,password
hallon,raspberries
grädde,cream
mjöl,flour
läsk,soda (drink)
hav,sea/ocean
älv,river
å,stream/small river
bäck,brook/creek
strand,beach
kust,coast
vik,bay
skärgård,archipelago
fjäll,mountain/fell
tall,pine tree
gran,spruce tree
björk,birch tree
gräs,grass
himmel,sky
avstånd,distance
Östersjön,Baltic Sea
län,province/country
strax,soon
kropp,body
medveten,aware/conscious
fartyg,ship/vessel,more technical/formal than "båt"
särskild,special
skön,nice/pleasant
ensam,alone
utveckla,develop
lösning,solution
tydlig,clear/explicit
grad,degree(temp)
även,also
ungefär,approximately
område,area
längs,along
förra,previous
trots,despite
känna igen,recognize
ansikte,face
växa upp,grow up
slang,hose
tjäna,earn
senaste,latest/recent
dålig,bad
riktig,real
hemlig,secret
nyligen,recently
